month,day,hour,City,Shape,State,Country,Summary,lat,lng
11.0,22.0,19.0,Cecil,Formation,PA,USA,"4 orange lights flying in formation - straight line, formation broke two 
went straight up, totally silent - seemed choreographed.",32.3026416,-86.0085693
11.0,22.0,16.0,Atkinson,Other,NH,USA,"Large, bright claw-shaped object encountered below cloud cover with 
noticeable effect on electromagnetic spectrum.",42.8384221,-71.1470036
11.0,22.0,11.0,Brooklyn,Circle,NY,USA,"Three craft in formation over the Hudson River.

The object kept equidistant but spun within the formation. NYC tourism 
helicopters w",40.64530975,-73.9550229
11.0,22.0,11.0,Floral City,Chevron,FL,USA,Pyramid shaped shiny object in sky.,28.7211775,-82.3076844
11.0,22.0,7.0,Jarrettsville,Diamond,MD,USA,"4 fire like orbs were seen disappearing and reappearing for 40 minutes in 
Jarrettsville, MD. ((anonymous report))",39.60455,-76.4777421
11.0,22.0,7.0,Gainesville,Other,GA,USA,One object with bright white lights remained still for about thirty minuts,34.2978794,-83.8240662
11.0,22.0,5.0,San Diego,Sphere,CA,USA,"It was a white glowing sphere. It was traveling from West to north east. I 
lost track of what happened next, it disappeared from sky. C",32.7174209,-117.1627713
11.0,22.0,4.0,Scarborough,Flash,ME,USA,"For unforeseen delays I was at least an half hour to 45 minutes behind 
schedule. ((anonymous report))",43.59622635,-70.3300556
11.0,22.0,2.0,Bismarck,Circle,ND,USA,Rolla.,46.8083268,-100.7837391
11.0,21.0,23.0,Key Colony Beach,Light,FL,USA,"I saw what appeared to be lights outside that lit up and cast shadows on my 
front doors window. ((NUFORC Note: Meteor?? PD))",24.7209744,-81.0186826
11.0,21.0,23.0,Victoria,Other,BC,CANADA,"A moving glow from something above a cloud over Victoria, BC.",48.4283327,-123.3649268
11.0,21.0,18.0,Riverdale,Oval,GA,USA,"For the past 4 days I've seen this bright light in the sky and it's 
stationary for a few minutes and then it's gone. It's not far from",33.5726113,-84.4132593
11.0,21.0,18.0,Fountain Hill,Light,AR,USA,"~6pm each night towards west, before sunset a bright white light appears, 
its so bright it radiates. ((NUFORC Note: Planet? PD))",33.3578937,-91.8504083
11.0,21.0,18.0,Ventura,Circle,CA,USA,"Round glowing ball changes shape. ((NUFORC Note: Probably a celestial 
bodya star or planet, we suspect. PD))",34.364744,-119.3105822
11.0,21.0,17.0,Alexandria,Fireball,VA,USA,This was a fireball quit and quick and Big.,33.7237617,-116.2673236
11.0,21.0,7.0,Pearisburg,Triangle,VA,USA,Triangular object with green lights.,37.3265112,-80.7350711
11.0,21.0,6.0,Miramar Beach,Sphere,FL,USA,"Miramar Beach Florida Moving Sphere Appears in Sunrise Pics. ((NUFORC Note: 
We suspect lens flares. PD))",30.38208845,-86.3640414
11.0,21.0,0.0,Burbank,Oval,CA,USA,Bright Object Floating In Sky..,34.1816482,-118.3258553
11.0,20.0,0.0,McKinney,Light,TX,USA,Four to six light clusters in eastern sky.,33.1976496,-96.615447
11.0,20.0,22.0,Springfield,Light,IL,USA,"I noticed in the south eastern sky a greenish red flashing light. ((NUFORC 
Note: Possible star or planet? PD))",39.7989763,-89.6443687
11.0,20.0,22.0,San Jose,Fireball,CA,USA,"FIREBALL COMES OUT THE SKY, WHILE THE CLOUDS TAKE SHAPE IN FORM..",37.3361905,-121.8905832
11.0,20.0,21.0,Charleston,Formation,TN,USA,"6* craft flying in formation..for a second... then appeared to move 
slightly out of formation and veer to the left...and we're gone out",35.4959148,-89.5089637
11.0,20.0,11.0,Lincoln,Oval,NE,USA,Silver aircraft hovered over city then vanished.,40.8,-96.6678209
11.0,20.0,9.0,Franklin,Light,WI,USA,"Bright multi colored light. ((NUFORC Note: ""Twinkling"" star, we suspect, 
possibly Sirius. PD))",44.2127373,-91.123762
11.0,20.0,7.0,Pamplin,Changing,VA,USA,"Saw 3 super bright white lights.also changed colors at times to 
red,green,blue 3 objects were about 1/2 mile apart flying just above tr",37.2634817,-78.6825049
